customer_id,name,segment,region,channel,signup_date
C00001,Customer 1,consumer,South,web,2024-05-06
C00002,Customer 2,enterprise,South,web,2024-10-03
C00003,Customer 3,smb,West,web,2023-03-01
C00004,Customer 4,consumer,North,web,2024-05-23
C00005,Customer 5,consumer,East,referral,2024-01-27
C00006,Customer 6,consumer,East,web,2023-04-29
C00007,Customer 7,consumer,South,web,2024-04-15
C00008,Customer 8,smb,West,web,2023-11-24
C00009,Customer 9,consumer,South,web,2023-01-21
C00010,Customer 10,smb,West,web,2023-04-07
C00011,Customer 11,consumer,South,web,2024-05-27
C00012,Customer 12,enterprise,East,web,2024-12-15
C00013,Customer 13,smb,East,web,2024-10-01
C00014,Customer 14,consumer,West,referral,2023-12-16
C00015,Customer 15,consumer,South,web,2023-05-12
C00016,Customer 16,consumer,South,web,2024-06-29
C00017,Customer 17,consumer,East,referral,2024-08-21
C00018,Customer 18,consumer,East,store,2023-02-01
C00019,Customer 19,consumer,East,referral,2023-09-16
C00020,Customer 20,consumer,North,referral,2024-04-20
C00021,Customer 21,consumer,East,web,2023-02-02
C00022,Customer 22,consumer,South,store,2024-01-23
C00023,Customer 23,consumer,South,web,2024-07-14
C00024,Customer 24,consumer,East,web,2024-03-31
C00025,Customer 25,consumer,West,store,2024-08-16
C00026,Customer 26,smb,East,web,2023-05-24
C00027,Customer 27,consumer,South,store,2024-08-26
C00028,Customer 28,consumer,West,store,2023-08-12
C00029,Customer 29,consumer,East,web,2023-08-05
C00030,Customer 30,consumer,South,store,2023-06-05
C00031,Customer 31,consumer,East,web,2024-06-03
C00032,Customer 32,consumer,East,web,2023-02-05
C00033,Customer 33,consumer,West,store,2024-09-27
C00034,Customer 34,smb,West,web,2023-01-09
C00035,Customer 35,enterprise,South,store,2023-02-09
C00036,Customer 36,smb,West,web,2024-04-13
C00037,Customer 37,consumer,West,web,2023-06-28
C00038,Customer 38,consumer,North,store,2024-10-02
C00039,Customer 39,consumer,East,web,2024-05-15
C00040,Customer 40,consumer,North,web,2024-01-08
C00041,Customer 41,consumer,North,web,2023-03-09
C00042,Customer 42,consumer,West,store,2024-10-27
