item_id,order_id,product_id,quantity,unit_price,line_total
I000001,O000001,P0131,3,73.03,219.09
I000002,O000002,P0490,1,43.01,43.01
I000003,O000002,P0252,1,546.01,546.01
I000004,O000003,P0337,1,992.93,992.93
I000005,O000004,P0478,1,1372.06,1372.06
I000006,O000005,P0352,1,159.87,159.87
I000007,O000005,P0215,1,378.1,378.1
I000008,O000005,P0469,1,323.06,323.06
I000009,O000006,P0238,1,413.11,413.11
I000010,O000007,P0060,1,330.99,330.99
I000011,O000008,P0411,1,72.69,72.69
I000012,O000008,P0355,1,15.05,15.05
I000013,O000008,P0282,1,181.0,181.0
I000014,O000009,P0235,1,473.2,473.2
I000015,O000009,P0350,2,182.58,365.16
I000016,O000010,P0162,1,159.25,159.25
I000017,O000011,P0395,1,71.75,71.75
I000018,O000011,P0128,1,13.6,13.6
I000019,O000011,P0453,2,950.79,1901.58
I000020,O000011,P0162,1,159.25,159.25
I000021,O000012,P0364,1,203.91,203.91
I000022,O000013,P0284,1,1290.67,1290.67
I000023,O000014,P0352,1,159.87,159.87
I000024,O000015,P0028,1,57.02,57.02
I000025,O000015,P0423,1,614.63,614.63
I000026,O000016,P0140,2,271.26,542.52
I000027,O000017,P0454,1,409.17,409.17
I000028,O000018,P0145,1,146.08,146.08
I000029,O000019,P0084,1,268.88,268.88
I000030,O000020,P0043,3,122.45,367.35
I000031,O000021,P0175,1,31.14,31.14
I000032,O000021,P0169,1,93.68,93.68
I000033,O000021,P0190,1,56.99,56.99
I000034,O000022,P0310,1,49.86,49.86
I000035,O000023,P0099,2,210.92,421.84
I000036,O000023,P0471,1,436.64,436.64
I000037,O000024,P0485,1,161.66,161.66
I000038,O000025,P0233,1,46.78,46.78
I000039,O000026,P0029,1,1161.57,1161.57
I000040,O000027,P0267,1,123.26,123.26
I000041,O000027,P0256,1,309.47,309.47
I000042,O000027,P0252,1,546.01,546.01
I000043,O000028,P0359,1,312.92,312.92
I000044,O000029,P0019,1,46.32,46.32
I000045,O000030,P0170,2,158.2,316.4
I000046,O000031,P0119,1,90.85,90.85
I000047,O000031,P0389,1,136.66,136.66
I000048,O000031,P0276,1,235.47,235.47
I000049,O000032,P0075,1,1316.62,1316.62
I000050,O000033,P0486,1,262.61,262.61
