order_id,customer_id,order_date,total,channel,region
O000001,C07914,2023-02-14,419.2,web,West
O000002,C02634,2023-06-30,129.1,store,East
O000003,C00563,2023-10-31,146.49,store,South
O000004,C02063,2023-03-14,474.77,store,East
O000005,C05384,2024-04-14,219.38,web,East
O000006,C01630,2023-10-19,296.26,store,East
O000007,C01870,2024-04-07,240.24,web,West
O000008,C02393,2023-07-26,303.88,web,East
O000009,C06789,2023-02-17,353.91,store,West
O000010,C02731,2023-11-06,213.91,store,East
O000011,C00539,2024-02-10,199.31,store,East
O000012,C06692,2024-05-15,430.26,referral,West
O000013,C06612,2024-01-24,327.97,store,South
O000014,C06836,2024-08-25,434.09,store,East
O000015,C02506,2024-09-17,440.91,store,East
O000016,C07715,2024-12-19,122.75,store,West
O000017,C00403,2023-01-08,410.27,web,East
O000018,C02585,2023-11-26,455.13,store,East
O000019,C00243,2024-02-18,247.5,web,West
O000020,C01140,2023-12-01,277.24,store,East
O000021,C01487,2023-04-14,218.9,web,West
O000022,C06130,2024-06-09,117.79,web,West
O000023,C07298,2024-01-08,290.14,web,West
O000024,C07912,2024-02-05,228.98,store,South
O000025,C01438,2024-06-20,420.27,store,West
O000026,C06109,2024-10-06,268.49,store,South
O000027,C06735,2023-11-05,480.47,store,East
O000028,C03707,2024-10-31,381.51,web,North
O000029,C00995,2024-12-30,154.74,web,West
O000030,C05822,2024-03-14,231.16,store,West
O000031,C04063,2023-10-13,325.88,store,East
O000032,C06203,2024-05-05,110.6,web,South
O000033,C05011,2023-03-03,278.82,store,East
O000034,C06060,2023-10-25,440.85,web,North
O000035,C05516,2024-11-21,128.58,web,East
O000036,C01927,2023-06-12,88.02,web,East
O000037,C00194,2024-01-28,273.62,store,West
O000038,C05158,2024-05-22,450.94,store,West
O000039,C02640,2023-12-24,366.34,store,West
O000040,C05880,2024-07-09,308.53,web,North
O000041,C03489,2023-08-20,128.71,web,South
O000042,C07312,2024-08-17,384.27,store,South
O000043,C06397,2023-05-24,353.46,store,North
O000044,C02251,2024-11-25,481.06,web,South
O000045,C07912,2023-09-02,105.69,store,South
O000046,C01053,2023-06-25,198.6,web,West
O000047,C04847,2023-07-07,267.54,store,North
O000048,C02046,2023-11-09,338.17,store,East
O000049,C04114,2024-02-04,261.44,store,South
O000050,C00602,2023-08-26,225.06,store,South
O000051,C04608,2023-06-04,216.32,web,North
O000052,C06379,2024-02-05,93.14,store,East
O000053,C03624,2023-07-12,234.09,store,West
O000054,C01622,2023-11-18,163.2,store,West
O000055,C03566,2024-08-11,181.13,store,West
O000056,C05681,2023-01-03,51.48,store,North
O000057,C04332,2024-10-27,66.25,store,North
O000058,C00664,2024-04-27,178.16,store,East
O000059,C01587,2023-11-10,136.02,store,West
O000060,C06924,2024-01-08,301.1,web,East
O000061,C06312,2023-02-23,280.79,store,East
O000062,C05325,2024-06-10,434.35,store,South
O000063,C03405,2023-05-17,77.61,store,South
O000064,C01133,2024-08-06,359.29,store,East
O000065,C00829,2024-06-22,459.18,web,East
O000066,C05943,2024-01-02,328.56,store,West
O000067,C01476,2023-05-11,432.53,web,South
O000068,C06052,2024-10-25,308.2,web,East
O000069,C02023,2023-08-26,399.91,store,North
O000070,C05402,2024-08-08,80.1,store,South
O000071,C06549,2023-12-30,124.8,store,East
O000072,C06841,2023-11-04,90.44,referral,West
O000073,C03033,2023-03-04,460.27,referral,East
O000074,C07627,2024-10-28,306.09,store,East
O000075,C01443,2024-05-25,203.84,store,West
O000076,C03895,2024-04-30,289.52,web,East
O000077,C07893,2023-07-07,54.12,store,North
O000078,C06990,2024-05-27,361.85,store,North
O000079,C04303,2024-06-21,168.29,store,East
O000080,C02607,2023-12-17,160.93,store,East
O000081,C07089,2023-06-30,159.78,store,East
O000082,C07442,2023-03-07,189.53,store,West
O000083,C07969,2024-10-24,348.8,store,East
O000084,C01421,2023-02-26,330.19,referral,North
O000085,C04444,2024-06-12,317.61,store,West
O000086,C02241,2023-10-05,186.65,web,East
O000087,C03187,2023-10-04,387.22,store,West
O000088,C02538,2023-05-21,492.2,store,West
O000089,C00853,2023-10-06,332.74,store,West
O000090,C07473,2024-02-24,290.49,store,East
O000091,C05154,2024-01-10,128.43,store,East
O000092,C00109,2023-04-20,85.52,web,South
O000093,C07814,2023-08-27,151.57,store,South
O000094,C00181,2024-05-28,268.83,store,West
O000095,C01587,2024-10-01,178.53,store,West
O000096,C00086,2023-12-18,493.07,store,South
O000097,C04242,2024-01-07,327.8,store,West
O000098,C04651,2023-12-19,201.76,store,East
O000099,C03293,2024-11-13,381.76,store,East
O000100,C04193,2024-12-14,149.13,store,North
O000101,C05608,2024-09-01,459.62,store,South
O000102,C02625,2023-01-26,269.29,referral,North
O000103,C06806,2023-01-20,280.43,web,East
O000104,C06488,2024-03-16,151.68,store,South
O000105,C00568,2024-09-08,57.55,store,North
O000106,C00353,2023-06-11,496.06,web,North
O000107,C03397,2023-05-17,387.76,store,South
O000108,C03455,2023-07-02,403.55,web,North
O000109,C05692,2023-01-16,198.64,store,West
O000110,C04936,2023-06-16,318.71,web,South
O000111,C00279,2023-11-06,223.0,web,East
O000112,C00051,2023-12-21,134.64,store,West
O000113,C01069,2024-11-29,409.06,store,West
O000114,C02760,2024-10-05,53.54,store,South
O000115,C01215,2023-03-21,292.62,store,West
O000116,C03295,2024-04-23,663.05,referral,West
O000117,C05591,2024-10-23,209.8,store,West
O000118,C05530,2024-09-16,57.46,store,West
O000119,C00963,2023-11-22,333.09,store,East
O000120,C05487,2024-08-16,368.18,store,East
O000121,C07814,2023-07-23,54.34,store,South
O000122,C00959,2024-04-26,196.2,store,East
O000123,C00019,2024-03-20,290.66,referral,East
O000124,C03241,2023-08-22,488.36,store,West
O000125,C03337,2023-01-21,298.4,web,East
O000126,C06508,2023-12-20,422.56,store,East
O000127,C04767,2024-07-13,247.5,referral,East
O000128,C05998,2024-02-04,64.23,store,East
O000129,C06805,2024-12-17,196.33,referral,West
O000130,C05337,2023-11-24,245.47,store,North
O000131,C00684,2024-03-16,277.74,store,East
O000132,C00632,2023-03-25,166.89,store,West
O000133,C07036,2023-05-24,247.27,store,South
O000134,C05953,2024-01-29,225.83,store,North
O000135,C01006,2023-10-21,118.0,store,East
O000136,C04683,2023-09-13,372.97,web,East
O000137,C04705,2024-12-15,199.17,store,West
O000138,C06890,2023-01-18,191.44,store,North
O000139,C05727,2023-10-13,84.38,store,North
O000140,C07926,2024-09-25,465.64,web,North
O000141,C05711,2023-03-20,350.63,store,East
O000142,C05018,2023-01-08,384.1,store,East
