return_id,order_id,product_id,return_date,reason
R00001,O000008,P0282,2023-08-10,defective
R00002,O000029,P0019,2025-01-04,defective
R00003,O000034,P0458,2023-10-29,damaged
R00004,O000044,P0131,2024-12-17,damaged
R00005,O000044,P0226,2024-12-02,wrong_item
R00006,O000074,P0036,2024-11-26,defective
R00007,O000076,P0168,2024-05-15,changed_mind
R00008,O000081,P0117,2023-07-19,not_as_described
R00009,O000085,P0035,2024-07-03,changed_mind
R00010,O000087,P0223,2023-10-08,wrong_item
R00011,O000088,P0058,2023-05-25,defective
R00012,O000091,P0400,2024-01-14,defective
R00013,O000110,P0302,2023-07-04,wrong_item
R00014,O000113,P0069,2024-12-12,damaged
R00015,O000118,P0220,2024-10-07,wrong_item
R00016,O000141,P0095,2023-03-29,wrong_item
R00017,O000160,P0480,2023-04-09,changed_mind
R00018,O000166,P0121,2024-02-21,damaged
R00019,O000198,P0040,2024-03-08,changed_mind
R00020,O000206,P0423,2023-11-29,changed_mind
R00021,O000216,P0181,2024-11-15,changed_mind
R00022,O000220,P0094,2024-05-11,defective
R00023,O000234,P0258,2023-05-13,changed_mind
R00024,O000266,P0348,2024-09-08,wrong_item
R00025,O000280,P0067,2023-04-18,changed_mind
R00026,O000284,P0278,2023-02-02,defective
R00027,O000292,P0406,2023-08-25,changed_mind
R00028,O000296,P0153,2023-12-26,damaged
R00029,O000312,P0399,2024-01-02,wrong_item
R00030,O000313,P0497,2023-02-07,changed_mind
R00031,O000317,P0119,2023-12-12,defective
R00032,O000326,P0345,2023-05-07,changed_mind
R00033,O000332,P0287,2024-12-25,changed_mind
R00034,O000358,P0251,2023-01-18,changed_mind
R00035,O000382,P0361,2023-04-14,wrong_item
R00036,O000390,P0349,2024-12-22,changed_mind
R00037,O000404,P0397,2023-07-04,defective
R00038,O000407,P0155,2024-05-20,changed_mind
R00039,O000407,P0182,2024-05-20,wrong_item
R00040,O000415,P0087,2023-05-31,not_as_described
R00041,O000420,P0385,2023-11-29,not_as_described
R00042,O000458,P0482,2024-03-04,defective
R00043,O000479,P0320,2024-01-20,changed_mind
R00044,O000485,P0212,2023-02-27,changed_mind
R00045,O000485,P0122,2023-02-10,not_as_described
R00046,O000486,P0376,2024-11-12,defective
R00047,O000494,P0314,2023-07-27,changed_mind
R00048,O000502,P0436,2023-02-10,defective
R00049,O000505,P0348,2023-04-27,changed_mind
R00050,O000519,P0264,2024-04-11,changed_mind
R00051,O000520,P0468,2024-02-25,wrong_item
R00052,O000544,P0494,2024-03-30,defective
R00053,O000546,P0011,2023-07-14,not_as_described
R00054,O000550,P0245,2024-02-06,changed_mind
R00055,O000558,P0089,2023-06-14,damaged
R00056,O000559,P0060,2023-05-06,defective
R00057,O000569,P0452,2023-07-07,changed_mind
R00058,O000582,P0103,2023-09-01,changed_mind
R00059,O000614,P0327,2023-01-31,defective
R00060,O000627,P0440,2025-01-03,changed_mind
R00061,O000652,P0498,2024-07-07,changed_mind
R00062,O000656,P0302,2024-10-26,damaged
R00063,O000672,P0160,2024-08-27,defective
R00064,O000676,P0061,2024-10-27,not_as_described
R00065,O000682,P0184,2024-04-21,not_as_described
R00066,O000683,P0185,2023-08-19,wrong_item
R00067,O000690,P0135,2024-12-02,changed_mind
R00068,O000702,P0125,2023-10-08,wrong_item
R00069,O000722,P0227,2023-03-11,defective
R00070,O000737,P0301,2024-08-19,damaged
R00071,O000738,P0499,2023-07-09,changed_mind
R00072,O000753,P0446,2023-03-19,defective
R00073,O000754,P0477,2023-04-11,wrong_item
R00074,O000756,P0035,2024-06-27,changed_mind
R00075,O000804,P0383,2023-06-19,damaged
R00076,O000845,P0480,2024-02-15,changed_mind
R00077,O000846,P0423,2023-02-17,changed_mind
R00078,O000867,P0070,2023-02-23,changed_mind
R00079,O000879,P0383,2024-04-19,changed_mind
R00080,O000885,P0385,2023-10-08,damaged
R00081,O000886,P0114,2023-06-14,defective
R00082,O000902,P0229,2024-08-21,changed_mind
R00083,O000903,P0140,2023-07-19,changed_mind
R00084,O000909,P0484,2023-11-30,changed_mind
R00085,O000912,P0407,2024-12-20,wrong_item
R00086,O000916,P0061,2023-11-03,wrong_item
R00087,O000920,P0051,2024-05-15,defective
R00088,O000926,P0252,2023-06-21,changed_mind
R00089,O000937,P0178,2024-03-13,defective
R00090,O000945,P0331,2024-02-02,changed_mind
R00091,O000961,P0016,2023-10-31,defective
R00092,O000971,P0491,2024-04-18,defective
R00093,O000984,P0206,2023-03-21,defective
R00094,O000998,P0051,2024-08-03,damaged
R00095,O001023,P0341,2024-02-24,wrong_item
R00096,O001027,P0109,2023-12-25,changed_mind
R00097,O001030,P0310,2024-12-19,changed_mind
R00098,O001041,P0284,2024-10-08,defective
R00099,O001051,P0453,2023-11-05,changed_mind
R00100,O001070,P0210,2023-06-24,defective
R00101,O001073,P0071,2024-03-05,not_as_described
R00102,O001093,P0124,2023-08-16,defective
R00103,O001096,P0360,2024-12-08,wrong_item
R00104,O001102,P0403,2024-06-26,changed_mind
R00105,O001112,P0321,2023-02-28,defective
R00106,O001126,P0227,2023-03-09,changed_mind
R00107,O001144,P0052,2023-07-22,wrong_item
R00108,O001147,P0188,2024-06-10,not_as_described
R00109,O001156,P0023,2023-02-07,defective
R00110,O001200,P0469,2023-11-26,changed_mind
R00111,O001201,P0460,2024-11-13,wrong_item
R00112,O001205,P0323,2024-03-13,defective
R00113,O001215,P0282,2024-01-20,changed_mind
R00114,O001221,P0110,2024-07-04,defective
R00115,O001230,P0426,2024-07-01,defective
R00116,O001232,P0310,2023-10-21,defective
R00117,O001238,P0280,2023-09-06,changed_mind
R00118,O001240,P0117,2024-11-09,wrong_item
R00119,O001243,P0405,2024-03-30,not_as_described
R00120,O001244,P0335,2024-04-01,not_as_described
R00121,O001247,P0100,2023-03-19,changed_mind
R00122,O001248,P0353,2024-10-04,defective
R00123,O001255,P0195,2024-03-26,wrong_item
R00124,O001270,P0177,2023-11-20,defective
R00125,O001280,P0018,2023-02-21,not_as_described
R00126,O001293,P0336,2023-04-05,changed_mind
R00127,O001297,P0364,2024-09-05,defective
R00128,O001314,P0177,2023-10-24,not_as_described
R00129,O001316,P0465,2024-02-03,changed_mind
R00130,O001331,P0279,2023-04-28,not_as_described
R00131,O001335,P0218,2023-03-02,damaged
R00132,O001341,P0450,2023-11-24,defective
R00133,O001342,P0171,2023-11-26,not_as_described
R00134,O001346,P0226,2024-02-12,changed_mind
R00135,O001367,P0109,2023-08-18,damaged
R00136,O001373,P0206,2023-01-31,wrong_item
R00137,O001376,P0483,2024-10-29,changed_mind
R00138,O001398,P0164,2023-05-18,defective
R00139,O001412,P0169,2024-06-20,damaged
R00140,O001430,P0303,2024-05-22,wrong_item
R00141,O001453,P0336,2024-05-05,changed_mind
R00142,O001457,P0227,2023-08-24,defective
R00143,O001460,P0232,2024-06-12,wrong_item
R00144,O001465,P0196,2023-09-27,defective
R00145,O001467,P0208,2024-05-28,damaged
R00146,O001474,P0299,2023-02-16,changed_mind
R00147,O001478,P0318,2023-11-16,changed_mind
R00148,O001504,P0255,2023-10-20,changed_mind
R00149,O001535,P0085,2023-11-11,wrong_item
R00150,O001538,P0184,2024-11-08,not_as_described
R00151,O001551,P0310,2023-05-26,damaged
R00152,O001552,P0220,2023-01-17,defective
R00153,O001560,P0084,2023-08-05,defective
R00154,O001582,P0474,2024-04-10,changed_mind
R00155,O001588,P0026,2023-10-26,changed_mind
R00156,O001594,P0088,2023-03-09,wrong_item
R00157,O001613,P0224,2024-03-20,damaged
R00158,O001629,P0278,2024-05-07,wrong_item
R00159,O001648,P0068,2025-01-14,changed_mind
R00160,O001673,P0350,2023-08-07,changed_mind
R00161,O001682,P0182,2023-12-16,defective
R00162,O001684,P0382,2024-01-29,wrong_item
R00163,O001705,P0142,2024-06-01,defective
R00164,O001712,P0313,2024-02-20,changed_mind
R00165,O001795,P0479,2023-10-22,wrong_item
R00166,O001803,P0136,2023-07-14,not_as_described
R00167,O001803,P0404,2023-07-31,wrong_item
R00168,O001808,P0369,2023-12-14,defective
R00169,O001809,P0260,2024-11-13,changed_mind
R00170,O001826,P0277,2024-12-10,changed_mind
R00171,O001835,P0240,2023-11-25,defective
R00172,O001841,P0346,2024-05-21,defective
R00173,O001842,P0136,2024-01-25,defective
R00174,O001851,P0053,2024-04-14,wrong_item
R00175,O001851,P0459,2024-04-12,damaged
R00176,O001882,P0049,2024-08-22,changed_mind
R00177,O001883,P0112,2024-12-16,damaged
R00178,O001894,P0086,2024-12-08,defective
R00179,O001901,P0019,2023-04-29,changed_mind
R00180,O001907,P0267,2024-05-19,not_as_described
R00181,O001911,P0199,2024-04-13,wrong_item
R00182,O001934,P0132,2024-09-23,changed_mind
R00183,O001941,P0433,2023-07-11,wrong_item
R00184,O001954,P0124,2024-04-01,wrong_item
R00185,O001966,P0009,2024-03-06,changed_mind
R00186,O001968,P0421,2023-06-28,changed_mind
R00187,O001977,P0230,2023-05-01,defective
R00188,O001979,P0437,2023-09-25,changed_mind
R00189,O001986,P0312,2024-08-09,defective
R00190,O002014,P0197,2023-05-30,wrong_item
R00191,O002022,P0426,2023-09-08,defective
R00192,O002041,P0014,2024-11-27,defective
R00193,O002062,P0280,2023-08-09,wrong_item
R00194,O002068,P0335,2024-03-16,not_as_described
R00195,O002078,P0289,2024-01-15,damaged
R00196,O002080,P0394,2024-12-12,defective
R00197,O002081,P0265,2024-09-14,not_as_described
R00198,O002111,P0400,2024-08-24,defective
R00199,O002114,P0125,2023-12-10,damaged
R00200,O002145,P0019,2024-10-15,changed_mind
R00201,O002145,P0416,2024-10-14,not_as_described
R00202,O002159,P0086,2024-04-18,defective
R00203,O002162,P0261,2023-11-04,not_as_described
R00204,O002244,P0041,2024-11-02,not_as_described
R00205,O002260,P0490,2023-09-25,changed_mind
R00206,O002265,P0013,2024-05-11,defective
R00207,O002267,P0002,2023-12-02,defective
R00208,O002305,P0459,2024-10-22,damaged
R00209,O002313,P0321,2023-02-28,not_as_described
R00210,O002336,P0226,2025-01-04,changed_mind
R00211,O002341,P0029,2024-03-21,changed_mind
R00212,O002355,P0265,2024-03-09,damaged
R00213,O002375,P0376,2023-03-09,not_as_described
R00214,O002377,P0166,2024-02-20,not_as_described
R00215,O002377,P0126,2024-01-24,changed_mind
R00216,O002391,P0152,2024-10-11,defective
R00217,O002403,P0459,2024-02-18,wrong_item
R00218,O002406,P0158,2024-08-31,damaged
R00219,O002418,P0315,2024-03-20,changed_mind
R00220,O002419,P0202,2024-04-22,not_as_described
R00221,O002420,P0106,2023-03-15,defective
R00222,O002431,P0060,2024-10-31,defective
R00223,O002435,P0144,2024-08-08,changed_mind
R00224,O002439,P0420,2024-01-18,defective
R00225,O002453,P0233,2023-07-04,not_as_described
R00226,O002454,P0063,2024-06-27,changed_mind
R00227,O002508,P0218,2023-11-13,damaged
R00228,O002550,P0324,2025-01-03,damaged
R00229,O002565,P0244,2023-04-27,changed_mind
R00230,O002571,P0353,2023-11-13,wrong_item
R00231,O002578,P0404,2024-02-23,not_as_described
R00232,O002582,P0267,2023-10-24,not_as_described
R00233,O002588,P0155,2023-03-05,changed_mind
R00234,O002607,P0131,2024-01-25,changed_mind
R00235,O002618,P0310,2024-12-18,changed_mind
R00236,O002629,P0052,2023-10-23,wrong_item
R00237,O002633,P0382,2023-05-03,damaged
R00238,O002677,P0150,2023-12-12,changed_mind
R00239,O002678,P0263,2024-12-28,changed_mind
R00240,O002690,P0155,2023-09-03,damaged
R00241,O002701,P0232,2023-01-25,changed_mind
R00242,O002706,P0389,2023-12-24,damaged
R00243,O002710,P0391,2023-07-12,changed_mind
R00244,O002717,P0115,2024-08-26,wrong_item
R00245,O002720,P0346,2024-04-03,changed_mind
R00246,O002728,P0380,2024-05-16,damaged
